churchId,name,state,district,city,address,lat,lng,pastorId,status,createdAt,updatedAt
church-001,Harvest Church New Delhi 1,Delhi,New Delhi,New Delhi,"10, New Delhi Community Road",28.654116,77.119731,pastor-001,growing,2023-03-04,2026-11-17
church-002,Grace Church New Delhi 2,Delhi,New Delhi,New Delhi,"11, New Delhi Community Road",28.562529,77.295837,pastor-002,active,2012-01-17,2026-08-12
church-003,Cornerstone Church New Delhi 3,Delhi,New Delhi,New Delhi,"12, New Delhi Community Road",28.651245,77.206424,pastor-003,new,2015-03-14,2024-05-08
church-004,Living Waters Church New Delhi 4,Delhi,New Delhi,New Delhi,"13, New Delhi Community Road",28.685706,77.162338,pastor-004,new,2015-06-21,2026-10-18
church-005,Faith Church New Delhi 5,Delhi,New Delhi,New Delhi,"14, New Delhi Community Road",28.552598,77.297141,pastor-005,support_needed,2014-07-01,2025-04-05
church-006,Covenant Church New Delhi 6,Delhi,New Delhi,New Delhi,"15, New Delhi Community Road",28.557057,77.280001,pastor-006,new,2022-12-27,2026-06-23
church-007,Covenant Church New Delhi 7,Delhi,New Delhi,New Delhi,"16, New Delhi Community Road",28.59277,77.286452,pastor-007,growing,2013-08-13,2024-02-14
church-008,Cornerstone Church New Delhi 8,Delhi,New Delhi,New Delhi,"17, New Delhi Community Road",28.673888,77.167843,pastor-008,growing,2022-07-14,2025-12-22
church-009,Hope Church New Delhi 9,Delhi,New Delhi,New Delhi,"18, New Delhi Community Road",28.62814,77.225536,pastor-009,support_needed,2024-04-01,2026-12-13
church-010,Covenant Church New Delhi 10,Delhi,New Delhi,New Delhi,"19, New Delhi Community Road",28.65992,77.260547,pastor-010,support_needed,2013-01-13,2025-06-04
church-011,Redeemer Church New Delhi 11,Delhi,New Delhi,New Delhi,"20, New Delhi Community Road",28.548568,77.126499,pastor-011,growing,2013-04-08,2026-04-06
church-012,Covenant Church New Delhi 12,Delhi,New Delhi,New Delhi,"21, New Delhi Community Road",28.527605,77.249001,pastor-012,growing,2017-06-20,2025-04-24
church-013,Restoration Church New Delhi 13,Delhi,New Delhi,New Delhi,"22, New Delhi Community Road",28.678137,77.190156,pastor-013,growing,2019-11-12,2024-06-11
church-014,Restoration Church New Delhi 14,Delhi,New Delhi,New Delhi,"23, New Delhi Community Road",28.602839,77.203848,pastor-014,new,2017-09-18,2024-05-06
church-015,Living Waters Church New Delhi 15,Delhi,New Delhi,New Delhi,"24, New Delhi Community Road",28.556333,77.120406,pastor-015,support_needed,2015-06-04,2024-05-21
church-016,Redeemer Church Mumbai 1,Maharashtra,Mumbai,Mumbai,"10, Mumbai Community Road",19.079409,72.802661,pastor-016,active,2015-11-17,2024-02-19
church-017,Restoration Church Mumbai 2,Maharashtra,Mumbai,Mumbai,"11, Mumbai Community Road",19.000267,72.927152,pastor-017,growing,2013-02-09,2024-11-20
church-018,Living Waters Church Mumbai 3,Maharashtra,Mumbai,Mumbai,"12, Mumbai Community Road",19.099692,72.861891,pastor-018,active,2017-10-23,2025-03-08
church-019,Grace Church Mumbai 4,Maharashtra,Mumbai,Mumbai,"13, Mumbai Community Road",19.016467,72.830066,pastor-019,growing,2012-09-11,2025-09-02
church-020,Grace Church Mumbai 5,Maharashtra,Mumbai,Mumbai,"14, Mumbai Community Road",19.022305,72.915942,pastor-020,active,2019-07-11,2024-05-25
church-021,Covenant Church Mumbai 6,Maharashtra,Mumbai,Mumbai,"15, Mumbai Community Road",19.155758,72.906696,pastor-021,active,2021-06-08,2026-02-08
church-022,Redeemer Church Mumbai 7,Maharashtra,Mumbai,Mumbai,"16, Mumbai Community Road",19.107012,72.896096,pastor-022,new,2014-11-15,2025-07-25
church-023,New Life Church Mumbai 8,Maharashtra,Mumbai,Mumbai,"17, Mumbai Community Road",19.02741,72.95395,pastor-023,active,2020-11-01,2024-11-05
church-024,Covenant Church Mumbai 9,Maharashtra,Mumbai,Mumbai,"18, Mumbai Community Road",19.069971,72.801246,pastor-024,active,2022-01-28,2026-12-13
church-025,Hope Church Mumbai 10,Maharashtra,Mumbai,Mumbai,"19, Mumbai Community Road",19.131213,72.80208,pastor-025,support_needed,2015-07-15,2025-06-23
church-026,Faith Church Mumbai 11,Maharashtra,Mumbai,Mumbai,"20, Mumbai Community Road",19.056342,72.898835,pastor-026,active,2016-04-16,2026-08-11
church-027,Redeemer Church Mumbai 12,Maharashtra,Mumbai,Mumbai,"21, Mumbai Community Road",19.01501,72.861333,pastor-027,active,2024-07-13,2025-10-13
church-028,New Life Church Mumbai 13,Maharashtra,Mumbai,Mumbai,"22, Mumbai Community Road",19.028345,72.884209,pastor-028,support_needed,2017-08-11,2024-11-23
church-029,Redeemer Church Mumbai 14,Maharashtra,Mumbai,Mumbai,"23, Mumbai Community Road",19.077336,72.843362,pastor-029,growing,2014-02-17,2024-07-02
church-030,Cornerstone Church Mumbai 15,Maharashtra,Mumbai,Mumbai,"24, Mumbai Community Road",19.013546,72.937164,pastor-030,active,2018-01-23,2024-11-04
church-031,Covenant Church Bengaluru 1,Karnataka,Bengaluru Urban,Bengaluru,"10, Bengaluru Community Road",12.929482,77.53682,pastor-031,growing,2015-08-25,2024-07-24
church-032,Cornerstone Church Bengaluru 2,Karnataka,Bengaluru Urban,Bengaluru,"11, Bengaluru Community Road",12.915208,77.528865,pastor-032,support_needed,2017-04-01,2025-11-11
church-033,Covenant Church Bengaluru 3,Karnataka,Bengaluru Urban,Bengaluru,"12, Bengaluru Community Road",13.047675,77.512644,pastor-033,growing,2016-11-10,2025-08-05
church-034,Cornerstone Church Bengaluru 4,Karnataka,Bengaluru Urban,Bengaluru,"13, Bengaluru Community Road",12.928355,77.584875,pastor-034,new,2024-02-04,2026-11-09
church-035,Grace Church Bengaluru 5,Karnataka,Bengaluru Urban,Bengaluru,"14, Bengaluru Community Road",13.000773,77.52214,pastor-035,growing,2017-04-11,2025-12-16
church-036,Redeemer Church Bengaluru 6,Karnataka,Bengaluru Urban,Bengaluru,"15, Bengaluru Community Road",12.908165,77.619154,pastor-036,support_needed,2014-08-01,2026-03-26
church-037,Covenant Church Bengaluru 7,Karnataka,Bengaluru Urban,Bengaluru,"16, Bengaluru Community Road",12.883441,77.633388,pastor-037,active,2013-12-20,2024-08-11
church-038,Faith Church Bengaluru 8,Karnataka,Bengaluru Urban,Bengaluru,"17, Bengaluru Community Road",12.992299,77.577193,pastor-038,active,2020-07-14,2026-03-12
church-039,Harvest Church Bengaluru 9,Karnataka,Bengaluru Urban,Bengaluru,"18, Bengaluru Community Road",13.007122,77.616713,pastor-039,support_needed,2022-08-15,2025-04-22
church-040,Harvest Church Bengaluru 10,Karnataka,Bengaluru Urban,Bengaluru,"19, Bengaluru Community Road",12.94798,77.521247,pastor-040,growing,2021-08-28,2026-04-16
church-041,New Life Church Bengaluru 11,Karnataka,Bengaluru Urban,Bengaluru,"20, Bengaluru Community Road",13.023278,77.625652,pastor-041,growing,2012-06-12,2026-04-06
church-042,New Life Church Bengaluru 12,Karnataka,Bengaluru Urban,Bengaluru,"21, Bengaluru Community Road",13.056238,77.673123,pastor-042,active,2012-02-03,2024-12-25
church-043,Grace Church Bengaluru 13,Karnataka,Bengaluru Urban,Bengaluru,"22, Bengaluru Community Road",13.032695,77.557299,pastor-043,active,2017-08-08,2024-04-16
church-044,Living Waters Church Bengaluru 14,Karnataka,Bengaluru Urban,Bengaluru,"23, Bengaluru Community Road",12.975441,77.666874,pastor-044,support_needed,2012-12-06,2026-12-19
church-045,Cornerstone Church Bengaluru 15,Karnataka,Bengaluru Urban,Bengaluru,"24, Bengaluru Community Road",12.934681,77.611212,pastor-045,new,2012-02-03,2026-04-03
church-046,Hope Church Chennai 1,Tamil Nadu,Chennai,Chennai,"10, Chennai Community Road",13.030696,80.271435,pastor-046,growing,2012-04-03,2024-07-26
church-047,Grace Church Chennai 2,Tamil Nadu,Chennai,Chennai,"11, Chennai Community Road",13.124237,80.339013,pastor-047,active,2012-07-17,2026-10-27
church-048,Restoration Church Chennai 3,Tamil Nadu,Chennai,Chennai,"12, Chennai Community Road",13.120065,80.284774,pastor-048,growing,2016-08-03,2024-08-19
church-049,Living Waters Church Chennai 4,Tamil Nadu,Chennai,Chennai,"13, Chennai Community Road",13.166086,80.223743,pastor-049,support_needed,2016-12-08,2025-02-22
church-050,Restoration Church Chennai 5,Tamil Nadu,Chennai,Chennai,"14, Chennai Community Road",13.043582,80.331117,pastor-050,new,2020-03-12,2026-12-08
church-051,Grace Church Chennai 6,Tamil Nadu,Chennai,Chennai,"15, Chennai Community Road",13.013495,80.238415,pastor-051,support_needed,2023-07-25,2026-03-04
church-052,Hope Church Chennai 7,Tamil Nadu,Chennai,Chennai,"16, Chennai Community Road",13.110757,80.257599,pastor-052,new,2020-02-25,2024-01-05
church-053,Grace Church Chennai 8,Tamil Nadu,Chennai,Chennai,"17, Chennai Community Road",13.133715,80.240067,pastor-053,support_needed,2019-10-21,2026-07-21
church-054,Harvest Church Chennai 9,Tamil Nadu,Chennai,Chennai,"18, Chennai Community Road",13.011354,80.283987,pastor-054,growing,2023-04-11,2026-06-23
church-055,New Life Church Chennai 10,Tamil Nadu,Chennai,Chennai,"19, Chennai Community Road",13.164525,80.221355,pastor-055,support_needed,2024-08-20,2026-04-13
church-056,Hope Church Chennai 11,Tamil Nadu,Chennai,Chennai,"20, Chennai Community Road",13.001007,80.19794,pastor-056,new,2017-08-05,2025-11-19
church-057,Restoration Church Chennai 12,Tamil Nadu,Chennai,Chennai,"21, Chennai Community Road",13.066963,80.216319,pastor-057,new,2022-07-05,2024-09-20
church-058,Redeemer Church Chennai 13,Tamil Nadu,Chennai,Chennai,"22, Chennai Community Road",13.148998,80.261538,pastor-058,growing,2013-08-19,2026-01-27
church-059,Covenant Church Chennai 14,Tamil Nadu,Chennai,Chennai,"23, Chennai Community Road",13.109883,80.358253,pastor-059,support_needed,2022-09-03,2026-02-01
church-060,Cornerstone Church Chennai 15,Tamil Nadu,Chennai,Chennai,"24, Chennai Community Road",13.101587,80.326682,pastor-060,growing,2024-08-16,2026-01-13
church-061,Cornerstone Church Kolkata 1,West Bengal,Kolkata,Kolkata,"10, Kolkata Community Road",22.640468,88.416393,pastor-061,support_needed,2024-02-02,2025-08-12
church-062,Restoration Church Kolkata 2,West Bengal,Kolkata,Kolkata,"11, Kolkata Community Road",22.64345,88.29246,pastor-062,active,2014-07-27,2025-02-19
church-063,Redeemer Church Kolkata 3,West Bengal,Kolkata,Kolkata,"12, Kolkata Community Road",22.488413,88.432079,pastor-063,support_needed,2023-12-10,2026-12-28
church-064,Faith Church Kolkata 4,West Bengal,Kolkata,Kolkata,"13, Kolkata Community Road",22.611907,88.301893,pastor-064,new,2024-08-06,2026-08-04
church-065,Harvest Church Kolkata 5,West Bengal,Kolkata,Kolkata,"14, Kolkata Community Road",22.648743,88.330215,pastor-065,support_needed,2022-03-18,2024-01-27
church-066,New Life Church Kolkata 6,West Bengal,Kolkata,Kolkata,"15, Kolkata Community Road",22.561308,88.299536,pastor-066,growing,2014-09-05,2024-08-19
church-067,Harvest Church Kolkata 7,West Bengal,Kolkata,Kolkata,"16, Kolkata Community Road",22.490244,88.323771,pastor-067,growing,2016-06-21,2024-08-26
church-068,Harvest Church Kolkata 8,West Bengal,Kolkata,Kolkata,"17, Kolkata Community Road",22.532694,88.394897,pastor-068,new,2021-02-19,2024-11-21
church-069,Covenant Church Kolkata 9,West Bengal,Kolkata,Kolkata,"18, Kolkata Community Road",22.606587,88.328465,pastor-069,support_needed,2015-03-04,2025-07-05
church-070,Faith Church Kolkata 10,West Bengal,Kolkata,Kolkata,"19, Kolkata Community Road",22.541998,88.383764,pastor-070,active,2012-12-11,2026-07-13
church-071,Faith Church Kolkata 11,West Bengal,Kolkata,Kolkata,"20, Kolkata Community Road",22.604324,88.300647,pastor-071,new,2022-06-19,2026-01-03
church-072,Faith Church Kolkata 12,West Bengal,Kolkata,Kolkata,"21, Kolkata Community Road",22.630673,88.345168,pastor-072,growing,2019-10-09,2026-08-24
church-073,Hope Church Kolkata 13,West Bengal,Kolkata,Kolkata,"22, Kolkata Community Road",22.564569,88.288422,pastor-073,active,2015-09-17,2025-09-18
church-074,Redeemer Church Kolkata 14,West Bengal,Kolkata,Kolkata,"23, Kolkata Community Road",22.559356,88.292678,pastor-074,new,2015-03-25,2026-11-10
church-075,Grace Church Kolkata 15,West Bengal,Kolkata,Kolkata,"24, Kolkata Community Road",22.578137,88.324723,pastor-075,active,2015-03-04,2026-04-25
church-076,New Life Church Hyderabad 1,Telangana,Hyderabad,Hyderabad,"10, Hyderabad Community Road",17.383372,78.418005,pastor-076,new,2012-04-18,2024-08-19
church-077,Living Waters Church Hyderabad 2,Telangana,Hyderabad,Hyderabad,"11, Hyderabad Community Road",17.471332,78.451779,pastor-077,active,2017-03-08,2025-03-24
church-078,Redeemer Church Hyderabad 3,Telangana,Hyderabad,Hyderabad,"12, Hyderabad Community Road",17.44639,78.480537,pastor-078,growing,2023-03-02,2024-09-11
church-079,Living Waters Church Hyderabad 4,Telangana,Hyderabad,Hyderabad,"13, Hyderabad Community Road",17.413702,78.473206,pastor-079,support_needed,2022-08-03,2024-11-02
church-080,New Life Church Hyderabad 5,Telangana,Hyderabad,Hyderabad,"14, Hyderabad Community Road",17.403324,78.56762,pastor-080,support_needed,2015-07-18,2026-12-02
church-081,Grace Church Hyderabad 6,Telangana,Hyderabad,Hyderabad,"15, Hyderabad Community Road",17.346297,78.437463,pastor-081,new,2014-11-23,2025-12-17
church-082,Hope Church Hyderabad 7,Telangana,Hyderabad,Hyderabad,"16, Hyderabad Community Road",17.420119,78.550531,pastor-082,support_needed,2014-09-12,2024-01-22
church-083,Restoration Church Hyderabad 8,Telangana,Hyderabad,Hyderabad,"17, Hyderabad Community Road",17.40595,78.489772,pastor-083,new,2020-12-19,2026-02-04
church-084,Living Waters Church Hyderabad 9,Telangana,Hyderabad,Hyderabad,"18, Hyderabad Community Road",17.369934,78.539343,pastor-084,support_needed,2023-01-02,2026-09-28
church-085,Living Waters Church Hyderabad 10,Telangana,Hyderabad,Hyderabad,"19, Hyderabad Community Road",17.329754,78.554325,pastor-085,support_needed,2013-11-03,2025-10-28
church-086,Faith Church Hyderabad 11,Telangana,Hyderabad,Hyderabad,"20, Hyderabad Community Road",17.315191,78.422978,pastor-086,growing,2021-09-04,2025-11-24
church-087,New Life Church Hyderabad 12,Telangana,Hyderabad,Hyderabad,"21, Hyderabad Community Road",17.44743,78.522951,pastor-087,growing,2020-05-13,2026-12-27
church-088,Living Waters Church Hyderabad 13,Telangana,Hyderabad,Hyderabad,"22, Hyderabad Community Road",17.426841,78.456042,pastor-088,growing,2013-05-12,2025-06-05
church-089,New Life Church Hyderabad 14,Telangana,Hyderabad,Hyderabad,"23, Hyderabad Community Road",17.309961,78.493686,pastor-089,new,2020-04-05,2025-08-18
church-090,Harvest Church Hyderabad 15,Telangana,Hyderabad,Hyderabad,"24, Hyderabad Community Road",17.405635,78.525646,pastor-090,active,2014-12-18,2024-11-18
church-091,Hope Church Pune 1,Maharashtra,Pune,Pune,"10, Pune Community Road",18.538417,73.875095,pastor-091,support_needed,2012-09-20,2024-07-01
church-092,Grace Church Pune 2,Maharashtra,Pune,Pune,"11, Pune Community Road",18.580659,73.904457,pastor-092,support_needed,2024-03-11,2026-12-01
church-093,Covenant Church Pune 3,Maharashtra,Pune,Pune,"12, Pune Community Road",18.497771,73.798852,pastor-093,support_needed,2021-09-25,2025-08-03
church-094,Grace Church Pune 4,Maharashtra,Pune,Pune,"13, Pune Community Road",18.547675,73.856085,pastor-094,active,2013-08-11,2024-05-22
church-095,Living Waters Church Pune 5,Maharashtra,Pune,Pune,"14, Pune Community Road",18.440444,73.921393,pastor-095,growing,2016-02-25,2024-01-28
church-096,Harvest Church Pune 6,Maharashtra,Pune,Pune,"15, Pune Community Road",18.53031,73.911221,pastor-096,support_needed,2024-12-26,2025-05-23
church-097,New Life Church Pune 7,Maharashtra,Pune,Pune,"16, Pune Community Road",18.467679,73.870432,pastor-097,support_needed,2015-01-15,2025-09-08
church-098,Redeemer Church Pune 8,Maharashtra,Pune,Pune,"17, Pune Community Road",18.540182,73.877776,pastor-098,growing,2022-02-22,2026-04-20
church-099,Living Waters Church Pune 9,Maharashtra,Pune,Pune,"18, Pune Community Road",18.557969,73.89506,pastor-099,growing,2013-03-12,2024-12-09
church-100,Faith Church Pune 10,Maharashtra,Pune,Pune,"19, Pune Community Road",18.434016,73.806954,pastor-100,support_needed,2013-11-08,2025-07-04
church-101,Living Waters Church Pune 11,Maharashtra,Pune,Pune,"20, Pune Community Road",18.541363,73.871728,pastor-101,active,2012-10-19,2025-06-13
church-102,Faith Church Pune 12,Maharashtra,Pune,Pune,"21, Pune Community Road",18.52671,73.905342,pastor-102,active,2015-03-07,2026-01-14
church-103,Harvest Church Pune 13,Maharashtra,Pune,Pune,"22, Pune Community Road",18.474369,73.815458,pastor-103,support_needed,2012-04-19,2025-06-01
church-104,Cornerstone Church Pune 14,Maharashtra,Pune,Pune,"23, Pune Community Road",18.590483,73.792276,pastor-104,active,2021-10-23,2025-01-15
church-105,Harvest Church Pune 15,Maharashtra,Pune,Pune,"24, Pune Community Road",18.584166,73.892708,pastor-105,active,2013-07-19,2025-05-28
church-106,Harvest Church Kochi 1,Kerala,Ernakulam,Kochi,"10, Kochi Community Road",9.870509,76.307703,pastor-106,active,2022-01-16,2026-12-23
church-107,Hope Church Kochi 2,Kerala,Ernakulam,Kochi,"11, Kochi Community Road",9.930744,76.353199,pastor-107,new,2015-03-21,2024-10-22
church-108,New Life Church Kochi 3,Kerala,Ernakulam,Kochi,"12, Kochi Community Road",9.979889,76.309522,pastor-108,growing,2013-09-19,2025-03-19
church-109,Cornerstone Church Kochi 4,Kerala,Ernakulam,Kochi,"13, Kochi Community Road",10.010617,76.179927,pastor-109,support_needed,2024-08-18,2025-12-15
church-110,Harvest Church Kochi 5,Kerala,Ernakulam,Kochi,"14, Kochi Community Road",9.954916,76.208234,pastor-110,support_needed,2012-01-01,2026-04-10
church-111,Faith Church Kochi 6,Kerala,Ernakulam,Kochi,"15, Kochi Community Road",9.957695,76.252831,pastor-111,support_needed,2019-02-01,2024-08-21
church-112,Harvest Church Kochi 7,Kerala,Ernakulam,Kochi,"16, Kochi Community Road",9.84576,76.277549,pastor-112,active,2022-10-21,2025-06-26
church-113,Grace Church Kochi 8,Kerala,Ernakulam,Kochi,"17, Kochi Community Road",9.930632,76.196529,pastor-113,active,2012-08-09,2025-08-09
church-114,Hope Church Kochi 9,Kerala,Ernakulam,Kochi,"18, Kochi Community Road",9.882294,76.338316,pastor-114,active,2024-08-18,2025-09-09
church-115,Living Waters Church Kochi 10,Kerala,Ernakulam,Kochi,"19, Kochi Community Road",9.963044,76.269507,pastor-115,new,2016-06-01,2025-02-13
church-116,Cornerstone Church Kochi 11,Kerala,Ernakulam,Kochi,"20, Kochi Community Road",9.951489,76.269128,pastor-116,new,2019-03-19,2024-05-07
church-117,Harvest Church Kochi 12,Kerala,Ernakulam,Kochi,"21, Kochi Community Road",9.954383,76.258572,pastor-117,active,2018-06-21,2025-10-23
church-118,Redeemer Church Kochi 13,Kerala,Ernakulam,Kochi,"22, Kochi Community Road",9.929,76.256881,pastor-118,active,2019-09-14,2025-04-15
church-119,Cornerstone Church Kochi 14,Kerala,Ernakulam,Kochi,"23, Kochi Community Road",9.929593,76.289312,pastor-119,active,2016-10-22,2025-01-22
church-120,Harvest Church Kochi 15,Kerala,Ernakulam,Kochi,"24, Kochi Community Road",9.859979,76.313895,pastor-120,active,2024-05-19,2026-06-02
church-121,Hope Church Jaipur 1,Rajasthan,Jaipur,Jaipur,"10, Jaipur Community Road",26.901672,75.874257,pastor-121,new,2019-05-22,2024-12-24
church-122,Cornerstone Church Jaipur 2,Rajasthan,Jaipur,Jaipur,"11, Jaipur Community Road",26.866509,75.795579,pastor-122,active,2020-08-22,2024-05-14
church-123,Redeemer Church Jaipur 3,Rajasthan,Jaipur,Jaipur,"12, Jaipur Community Road",26.869088,75.834656,pastor-123,active,2021-10-22,2025-11-16
church-124,Harvest Church Jaipur 4,Rajasthan,Jaipur,Jaipur,"13, Jaipur Community Road",26.915525,75.751739,pastor-124,new,2017-01-16,2025-01-23
church-125,Covenant Church Jaipur 5,Rajasthan,Jaipur,Jaipur,"14, Jaipur Community Road",26.826039,75.776656,pastor-125,support_needed,2022-11-20,2025-11-12
church-126,Harvest Church Jaipur 6,Rajasthan,Jaipur,Jaipur,"15, Jaipur Community Road",26.994867,75.780368,pastor-126,growing,2018-02-17,2024-07-27
church-127,Living Waters Church Jaipur 7,Rajasthan,Jaipur,Jaipur,"16, Jaipur Community Road",26.963669,75.87104,pastor-127,new,2021-10-23,2025-10-27
church-128,Living Waters Church Jaipur 8,Rajasthan,Jaipur,Jaipur,"17, Jaipur Community Road",26.982011,75.738007,pastor-128,new,2021-11-25,2026-03-02
church-129,Redeemer Church Jaipur 9,Rajasthan,Jaipur,Jaipur,"18, Jaipur Community Road",26.935423,75.786546,pastor-129,active,2018-03-22,2026-11-11
church-130,Hope Church Jaipur 10,Rajasthan,Jaipur,Jaipur,"19, Jaipur Community Road",26.944415,75.84385,pastor-130,growing,2023-11-13,2024-12-13
church-131,Living Waters Church Jaipur 11,Rajasthan,Jaipur,Jaipur,"20, Jaipur Community Road",26.926415,75.704756,pastor-131,growing,2016-12-04,2026-10-22
church-132,Grace Church Jaipur 12,Rajasthan,Jaipur,Jaipur,"21, Jaipur Community Road",26.971087,75.750382,pastor-132,growing,2021-04-03,2026-06-06
church-133,Restoration Church Jaipur 13,Rajasthan,Jaipur,Jaipur,"22, Jaipur Community Road",26.874966,75.795266,pastor-133,support_needed,2018-04-07,2026-06-03
church-134,Covenant Church Jaipur 14,Rajasthan,Jaipur,Jaipur,"23, Jaipur Community Road",26.853334,75.752064,pastor-134,support_needed,2016-12-06,2026-04-01
church-135,Hope Church Jaipur 15,Rajasthan,Jaipur,Jaipur,"24, Jaipur Community Road",26.846828,75.816192,pastor-135,support_needed,2019-11-23,2024-10-20
church-136,Covenant Church Lucknow 1,Uttar Pradesh,Lucknow,Lucknow,"10, Lucknow Community Road",26.877116,81.010129,pastor-136,new,2015-04-04,2026-01-19
church-137,Harvest Church Lucknow 2,Uttar Pradesh,Lucknow,Lucknow,"11, Lucknow Community Road",26.806173,80.866475,pastor-137,new,2024-08-27,2024-09-09
church-138,Redeemer Church Lucknow 3,Uttar Pradesh,Lucknow,Lucknow,"12, Lucknow Community Road",26.819198,81.009806,pastor-138,growing,2016-02-21,2025-04-20
church-139,Faith Church Lucknow 4,Uttar Pradesh,Lucknow,Lucknow,"13, Lucknow Community Road",26.759602,81.022466,pastor-139,new,2019-03-24,2026-10-12
church-140,Redeemer Church Lucknow 5,Uttar Pradesh,Lucknow,Lucknow,"14, Lucknow Community Road",26.776567,80.916895,pastor-140,active,2012-11-15,2025-07-21
church-141,Faith Church Lucknow 6,Uttar Pradesh,Lucknow,Lucknow,"15, Lucknow Community Road",26.795619,80.989081,pastor-141,growing,2014-05-07,2024-01-25
church-142,Grace Church Lucknow 7,Uttar Pradesh,Lucknow,Lucknow,"16, Lucknow Community Road",26.820921,80.900784,pastor-142,active,2019-09-22,2026-03-01
church-143,Living Waters Church Lucknow 8,Uttar Pradesh,Lucknow,Lucknow,"17, Lucknow Community Road",26.805236,80.931468,pastor-143,active,2012-09-25,2025-01-11
church-144,Redeemer Church Lucknow 9,Uttar Pradesh,Lucknow,Lucknow,"18, Lucknow Community Road",26.834217,81.002172,pastor-144,support_needed,2024-06-01,2026-02-06
church-145,Redeemer Church Lucknow 10,Uttar Pradesh,Lucknow,Lucknow,"19, Lucknow Community Road",26.924543,80.957878,pastor-145,support_needed,2016-06-03,2026-11-04
church-146,Hope Church Lucknow 11,Uttar Pradesh,Lucknow,Lucknow,"20, Lucknow Community Road",26.779571,80.915347,pastor-146,growing,2018-04-04,2024-12-09
church-147,Cornerstone Church Lucknow 12,Uttar Pradesh,Lucknow,Lucknow,"21, Lucknow Community Road",26.805456,80.979913,pastor-147,new,2013-08-22,2024-06-24
church-148,Faith Church Lucknow 13,Uttar Pradesh,Lucknow,Lucknow,"22, Lucknow Community Road",26.773425,81.029998,pastor-148,growing,2020-02-19,2026-07-05
church-149,Cornerstone Church Lucknow 14,Uttar Pradesh,Lucknow,Lucknow,"23, Lucknow Community Road",26.805104,80.867498,pastor-149,growing,2013-08-23,2024-06-02
church-150,Covenant Church Lucknow 15,Uttar Pradesh,Lucknow,Lucknow,"24, Lucknow Community Road",26.844673,80.875308,pastor-150,new,2018-05-24,2024-06-09
church-151,New Life Church Guwahati 1,Assam,Kamrup Metropolitan,Guwahati,"10, Guwahati Community Road",26.198703,91.74916,pastor-151,support_needed,2013-10-08,2024-12-03
